object_id,object_type,total_amount,status
Invoice5378,Invoice,,
Payment2130,Payment,,
PO612,Purchase Order,16446.510000000002,Created
GRN7579,Goods Receipt,,
Invoice3376,Invoice,,
Payment2339,Payment,,
PO2816,Purchase Order,6408.07,Created
GRN2302,Goods Receipt,,
Invoice9346,Invoice,,
Payment8430,Payment,,
PO1847,Purchase Order,4446.3,Created
GRN3993,Goods Receipt,,
Invoice755,Invoice,,
Payment2107,Payment,,
PO6595,Purchase Order,6357.03,Created
GRN6688,Goods Receipt,,
Invoice4221,Invoice,,
Payment6108,Payment,,
PO690,Purchase Order,12436.91,Created
GRN4931,Goods Receipt,,
Invoice8362,Invoice,,
Payment9660,Payment,,
PO4719,Purchase Order,23095.35,Created
GRN5496,Goods Receipt,,
Invoice4716,Invoice,,
Payment185,Payment,,
PO6847,Purchase Order,19176.02,Created
GRN9751,Goods Receipt,,
Invoice4370,Invoice,,
Payment5658,Payment,,
PO2453,Purchase Order,4125.51,Created
GRN9052,Goods Receipt,,
Invoice3787,Invoice,,
Payment6220,Payment,,
PO7680,Purchase Order,8485.61,Created
GRN6964,Goods Receipt,,
Invoice9055,Invoice,,
Payment4459,Payment,,
PO7814,Purchase Order,8542.87,Created
GRN9059,Goods Receipt,,
Invoice5264,Invoice,,
Payment7105,Payment,,
PO3689,Purchase Order,9347.09,Created
GRN4202,Goods Receipt,,
Invoice5918,Invoice,,
Payment9221,Payment,,
PO5800,Purchase Order,3092.95,Created
GRN2289,Goods Receipt,,
Invoice2159,Invoice,,
Payment5790,Payment,,
PO7879,Purchase Order,10540.64,Created
GRN8466,Goods Receipt,,
Invoice1784,Invoice,,
Payment4639,Payment,,
PO4018,Purchase Order,5491.58,Created
GRN8500,Goods Receipt,,
Invoice8077,Invoice,,
Payment9540,Payment,,
PO8210,Purchase Order,5587.63,Created
GRN1535,Goods Receipt,,
Invoice3786,Invoice,,
Payment7749,Payment,,
PO7137,Purchase Order,3880.61,Created
GRN4079,Goods Receipt,,
Invoice9358,Invoice,,
Payment7325,Payment,,
PO4755,Purchase Order,28083.210000000003,Created
GRN3570,Goods Receipt,,
Invoice7270,Invoice,,
Payment5882,Payment,,
PO2566,Purchase Order,33786.189999999995,Created
GRN7055,Goods Receipt,,
Invoice8983,Invoice,,
Payment797,Payment,,
PO3122,Purchase Order,3154.33,Created
GRN9462,Goods Receipt,,
Invoice3953,Invoice,,
Payment4409,Payment,,
PO6508,Purchase Order,2572.71,Created
GRN7175,Goods Receipt,,
Invoice2009,Invoice,,
PO1137,Purchase Order,17613.72,Created
GRN268,Goods Receipt,,
Invoice314,Invoice,,
Payment8764,Payment,,
PO506,Purchase Order,34853.14,Created
GRN7765,Goods Receipt,,
Invoice309,Invoice,,
Payment1950,Payment,,
PO2937,Purchase Order,7216.68,Created
GRN2944,Goods Receipt,,
Invoice6741,Invoice,,
Payment4252,Payment,,
PO183,Purchase Order,8957.630000000001,Created
GRN5573,Goods Receipt,,
Invoice4985,Invoice,,
Payment2235,Payment,,
PO6131,Purchase Order,7151.42,Created
GRN5965,Goods Receipt,,
Invoice2309,Invoice,,
Payment5151,Payment,,
PO9056,Purchase Order,6185.3,Created
GRN3407,Goods Receipt,,
Payment7566,Payment,,
PO2124,Purchase Order,18202.91,Created
GRN6506,Goods Receipt,,
Invoice5042,Invoice,,
Payment5637,Payment,,
PO3051,Purchase Order,7151.71,Created
GRN3004,Goods Receipt,,
Invoice1315,Invoice,,
Payment5964,Payment,,
PO1817,Purchase Order,10614.27,Created
GRN3197,Goods Receipt,,
Invoice3722,Invoice,,
Payment3791,Payment,,
PO4509,Purchase Order,25752.73,Created
GRN6948,Goods Receipt,,
Invoice5392,Invoice,,
Payment8877,Payment,,
PO4725,Purchase Order,17281.260000000002,Created
GRN8800,Goods Receipt,,
Invoice2764,Invoice,,
Payment1862,Payment,,
PO3001,Purchase Order,19921.38,Created
GRN9849,Goods Receipt,,
Invoice3348,Invoice,,
Payment6985,Payment,,
PO1931,Purchase Order,19134.22,Created
GRN8429,Goods Receipt,,
Invoice7720,Invoice,,
Payment5446,Payment,,
PO4266,Purchase Order,640.35,Created
GRN5743,Goods Receipt,,
Invoice3590,Invoice,,
Payment6190,Payment,,
PO7733,Purchase Order,19455.48,Created
GRN2655,Goods Receipt,,
Invoice5934,Invoice,,
Payment9561,Payment,,
PO3818,Purchase Order,6835.6,Created
GRN1086,Goods Receipt,,
Invoice9877,Invoice,,
Payment8236,Payment,,
PO5942,Purchase Order,2835.63,Created
GRN2369,Goods Receipt,,
Invoice5258,Invoice,,
Payment588,Payment,,
PO425,Purchase Order,3100.41,Created
GRN8680,Goods Receipt,,
Invoice8505,Invoice,,
Payment4047,Payment,,
PO4715,Purchase Order,5179.99,Created
GRN910,Goods Receipt,,
Invoice5095,Invoice,,
Payment5612,Payment,,
PO3833,Purchase Order,1477.18,Created
GRN1009,Goods Receipt,,
Invoice1355,Invoice,,
Payment2310,Payment,,
PO6223,Purchase Order,4669.53,Created
GRN2446,Goods Receipt,,
Invoice2299,Invoice,,
Payment7213,Payment,,
PO4697,Purchase Order,13632.06,Created
GRN5608,Goods Receipt,,
Invoice1370,Invoice,,
Payment2736,Payment,,
PO795,Purchase Order,5020.88,Created
GRN1609,Goods Receipt,,
Invoice4215,Invoice,,
Payment4801,Payment,,
PO1193,Purchase Order,4009.5,Created
GRN2529,Goods Receipt,,
Invoice3937,Invoice,,
Payment860,Payment,,
PO6038,Purchase Order,15297.41,Created
GRN1488,Goods Receipt,,
Invoice7343,Invoice,,
Payment8900,Payment,,
PO7279,Purchase Order,21792.109999999997,Created
GRN7723,Goods Receipt,,
Invoice9156,Invoice,,
PO8191,Purchase Order,2320.8,Created
GRN1111,Goods Receipt,,
Invoice4121,Invoice,,
Payment6232,Payment,,
PO5209,Purchase Order,6214.4,Created
GRN4083,Goods Receipt,,
Invoice8464,Invoice,,
PO633,Purchase Order,2501.19,Created
GRN7221,Goods Receipt,,
Invoice6224,Invoice,,
Payment916,Payment,,
PO313,Purchase Order,4500.68,Created
GRN9802,Goods Receipt,,
Invoice9299,Invoice,,
Payment8164,Payment,,
PO5336,Purchase Order,30974.66,Created
GRN4886,Goods Receipt,,
Invoice9292,Invoice,,
Payment984,Payment,,
PO9904,Purchase Order,21889.46,Created
Invoice9505,Invoice,,
Payment5622,Payment,,
PO6380,Purchase Order,8445.83,Created
GRN8725,Goods Receipt,,
Invoice6810,Invoice,,
Payment8967,Payment,,
PO7538,Purchase Order,28898.51,Created
GRN3259,Goods Receipt,,
Invoice4555,Invoice,,
Payment5892,Payment,,
PO2879,Purchase Order,5487.780000000001,Created
GRN8881,Goods Receipt,,
Payment6217,Payment,,
PO2523,Purchase Order,32715.2,Created
GRN72,Goods Receipt,,
Invoice4702,Invoice,,
Payment3222,Payment,,
PO5655,Purchase Order,28165.87,Created
GRN7362,Goods Receipt,,
Invoice1019,Invoice,,
Payment9727,Payment,,
PO131,Purchase Order,28983.96,Created
GRN3468,Goods Receipt,,
Invoice9816,Invoice,,
Payment2583,Payment,,
PO9734,Purchase Order,3995.81,Created
GRN5843,Goods Receipt,,
Invoice4260,Invoice,,
Payment7789,Payment,,
PO1368,Purchase Order,29623.36,Created
GRN1303,Goods Receipt,,
Invoice7164,Invoice,,
Payment6522,Payment,,
PO3735,Purchase Order,12905.75,Created
GRN2061,Goods Receipt,,
Payment7182,Payment,,
PO1144,Purchase Order,12315.5,Created
GRN4921,Goods Receipt,,
Invoice4001,Invoice,,
Payment3178,Payment,,
PO3680,Purchase Order,7297.95,Created
GRN6157,Goods Receipt,,
Invoice8052,Invoice,,
Payment9150,Payment,,
PO1192,Purchase Order,5671.22,Created
GRN9057,Goods Receipt,,
Invoice4677,Invoice,,
Payment1075,Payment,,
PO9468,Purchase Order,25482.31,Created
GRN3533,Goods Receipt,,
Invoice342,Invoice,,
Payment7488,Payment,,
PO1457,Purchase Order,4345.69,Created
GRN3493,Goods Receipt,,
Invoice3500,Invoice,,
Payment3313,Payment,,
PO4858,Purchase Order,15661.87,Created
GRN6263,Goods Receipt,,
Invoice2112,Invoice,,
Payment9836,Payment,,
PO4777,Purchase Order,5804.04,Created
GRN5243,Goods Receipt,,
Invoice54,Invoice,,
Payment3469,Payment,,
PO9372,Purchase Order,15652.81,Created
GRN9775,Goods Receipt,,
Invoice1565,Invoice,,
Payment1591,Payment,,
PO523,Purchase Order,6181.1,Created
GRN1659,Goods Receipt,,
Invoice3609,Invoice,,
Payment9211,Payment,,
PO9154,Purchase Order,19970.02,Created
GRN5193,Goods Receipt,,
Invoice3844,Invoice,,
Payment9041,Payment,,
PO9274,Purchase Order,22469.48,Created
Invoice7401,Invoice,,
Payment1608,Payment,,
PO2897,Purchase Order,2194.64,Created
GRN1233,Goods Receipt,,
Invoice8350,Invoice,,
Payment778,Payment,,
PO6459,Purchase Order,31196.359999999997,Created
GRN1855,Goods Receipt,,
Invoice4387,Invoice,,
Payment549,Payment,,
PO1444,Purchase Order,7360.45,Created
GRN7507,Goods Receipt,,
Invoice8497,Invoice,,
Payment9051,Payment,,
PO5801,Purchase Order,9002.86,Created
GRN6523,Goods Receipt,,
Invoice7811,Invoice,,
Payment4361,Payment,,
PO5810,Purchase Order,9133.84,Created
GRN52,Goods Receipt,,
Invoice5821,Invoice,,
Payment3862,Payment,,
PO4520,Purchase Order,3083.6,Created
GRN7952,Goods Receipt,,
Invoice1012,Invoice,,
Payment4565,Payment,,
PO9668,Purchase Order,6732.56,Created
GRN1922,Goods Receipt,,
Invoice4448,Invoice,,
Payment4913,Payment,,
PO8958,Purchase Order,19765.7,Created
GRN4905,Goods Receipt,,
Payment2364,Payment,,
PO3983,Purchase Order,26704.06,Created
GRN4747,Goods Receipt,,
Invoice6487,Invoice,,
Payment1547,Payment,,
PO2510,Purchase Order,11801.82,Created
GRN9306,Goods Receipt,,
Invoice552,Invoice,,
Payment4483,Payment,,
PO4352,Purchase Order,2570.94,Created
GRN1339,Goods Receipt,,
Invoice7282,Invoice,,
Payment2460,Payment,,
PO3747,Purchase Order,22614.19,Created
GRN5483,Goods Receipt,,
Invoice6057,Invoice,,
PO5075,Purchase Order,21387.53,Created
GRN2829,Goods Receipt,,
Invoice948,Invoice,,
Payment1927,Payment,,
PO6434,Purchase Order,5699.73,Created
GRN2343,Goods Receipt,,
Invoice8040,Invoice,,
Payment9959,Payment,,
PO1388,Purchase Order,24402.29,Created
GRN3242,Goods Receipt,,
Invoice5360,Invoice,,
Payment9437,Payment,,
PO2002,Purchase Order,2028.06,Created
GRN8355,Goods Receipt,,
Invoice3355,Invoice,,
Payment4119,Payment,,
PO8315,Purchase Order,9237.26,Created
GRN9919,Goods Receipt,,
Invoice3292,Invoice,,
Payment8987,Payment,,
PO7791,Purchase Order,4460.82,Created
GRN2780,Goods Receipt,,
Invoice7080,Invoice,,
Payment4885,Payment,,
PO7853,Purchase Order,26749.73,Created
GRN9916,Goods Receipt,,
Invoice6727,Invoice,,
Payment4901,Payment,,
PO5649,Purchase Order,7856.01,Created
GRN8394,Goods Receipt,,
Invoice7161,Invoice,,
Payment5503,Payment,,
PO5219,Purchase Order,3937.85,Created
GRN5779,Goods Receipt,,
Invoice8807,Invoice,,
Payment6103,Payment,,
PO6670,Purchase Order,4235.57,Created
GRN7363,Goods Receipt,,
Payment817,Payment,,
PO7443,Purchase Order,27802.87,Created
GRN6006,Goods Receipt,,
Invoice8834,Invoice,,
Payment6608,Payment,,
PO1261,Purchase Order,1990.98,Created
GRN1126,Goods Receipt,,
Invoice4789,Invoice,,
Payment214,Payment,,
PO9504,Purchase Order,17659.23,Created
GRN6395,Goods Receipt,,
Invoice7465,Invoice,,
Payment9728,Payment,,
PO2941,Purchase Order,28219.960000000003,Created
GRN693,Goods Receipt,,
Payment8231,Payment,,
PO8930,Purchase Order,1178.64,Created
GRN5727,Goods Receipt,,
Invoice2049,Invoice,,
Payment4827,Payment,,
PO8200,Purchase Order,3107.01,Created
GRN6413,Goods Receipt,,
Invoice277,Invoice,,
Payment7238,Payment,,
PO574,Purchase Order,10145.91,Created
GRN2760,Goods Receipt,,
Invoice4321,Invoice,,
Payment4822,Payment,,
PO2247,Purchase Order,4191.75,Created
GRN1851,Goods Receipt,,
Invoice4757,Invoice,,
Payment3320,Payment,,
PO6203,Purchase Order,13320.69,Created
GRN6024,Goods Receipt,,
Invoice9506,Invoice,,
Payment6957,Payment,,
PO1395,Purchase Order,6678.35,Created
GRN1801,Goods Receipt,,
Invoice665,Invoice,,
Payment6267,Payment,,
PO2657,Purchase Order,9543.12,Created
GRN5964,Goods Receipt,,
Invoice5100,Invoice,,
Payment1244,Payment,,
PO1838,Purchase Order,12939.02,Created
GRN3319,Goods Receipt,,
Invoice3264,Invoice,,
Payment2023,Payment,,
PO8064,Purchase Order,4778.56,Created
GRN1497,Goods Receipt,,
Invoice251,Invoice,,
Payment151,Payment,,
PO5108,Purchase Order,13607.7,Created
GRN7125,Goods Receipt,,
Invoice6829,Invoice,,
Payment3701,Payment,,
PO8250,Purchase Order,4453.26,Created
GRN8177,Goods Receipt,,
Invoice8693,Invoice,,
Payment9550,Payment,,
PO6393,Purchase Order,4827.4,Created
GRN1323,Goods Receipt,,
Invoice9146,Invoice,,
Payment1763,Payment,,
PO6888,Purchase Order,25939.8,Created
GRN2315,Goods Receipt,,
Invoice4043,Invoice,,
Payment3595,Payment,,
PO1926,Purchase Order,4487.7,Created
GRN6311,Goods Receipt,,
Invoice9285,Invoice,,
Payment9603,Payment,,
PO3196,Purchase Order,6789.89,Created
GRN81,Goods Receipt,,
Invoice6765,Invoice,,
Payment1663,Payment,,
PO1917,Purchase Order,6856.2,Created
GRN4064,Goods Receipt,,
Invoice182,Invoice,,
Payment4115,Payment,,
PO7291,Purchase Order,17945.86,Created
GRN8104,Goods Receipt,,
Invoice8964,Invoice,,
Payment4789,Payment,,
PO2712,Purchase Order,15999.58,Created
GRN3154,Goods Receipt,,
Invoice3900,Invoice,,
Payment4854,Payment,,
PO9837,Purchase Order,13439.7,Created
GRN8589,Goods Receipt,,
Invoice586,Invoice,,
Payment8593,Payment,,
PO7055,Purchase Order,7410.92,Created
GRN8209,Goods Receipt,,
Invoice7681,Invoice,,
Payment6706,Payment,,
PO4307,Purchase Order,1495.67,Created
GRN5595,Goods Receipt,,
Invoice603,Invoice,,
Payment1264,Payment,,
PO698,Purchase Order,4913.85,Created
GRN5163,Goods Receipt,,
Invoice6118,Invoice,,
Payment1566,Payment,,
PO9535,Purchase Order,21308.96,Created
GRN3306,Goods Receipt,,
Invoice9211,Invoice,,
Payment9825,Payment,,
PO407,Purchase Order,34396.55,Created
Invoice5977,Invoice,,
Payment27,Payment,,
PO8850,Purchase Order,9972.3,Created
GRN2839,Goods Receipt,,
Invoice5769,Invoice,,
Payment3172,Payment,,
PO4235,Purchase Order,2558.55,Created
GRN7194,Goods Receipt,,
Payment3715,Payment,,
PO8841,Purchase Order,22422.99,Created
GRN9855,Goods Receipt,,
Invoice7583,Invoice,,
Payment9197,Payment,,
PO7907,Purchase Order,11596.65,Created
GRN9510,Goods Receipt,,
Invoice1490,Invoice,,
Payment7364,Payment,,
PO6518,Purchase Order,28525.72,Created
GRN5348,Goods Receipt,,
Invoice6182,Invoice,,
Payment5884,Payment,,
PO9585,Purchase Order,18290.29,Created
GRN7808,Goods Receipt,,
Invoice234,Invoice,,
Payment8865,Payment,,
PO3249,Purchase Order,3956.08,Created
GRN2642,Goods Receipt,,
Invoice6080,Invoice,,
Payment2323,Payment,,
PO3650,Purchase Order,10438.26,Created
GRN27,Goods Receipt,,
Invoice3104,Invoice,,
Payment9795,Payment,,
PO4590,Purchase Order,19336.97,Created
GRN8149,Goods Receipt,,
Invoice5302,Invoice,,
Payment4562,Payment,,
PO8963,Purchase Order,20692.23,Created
GRN5699,Goods Receipt,,
Invoice2686,Invoice,,
Payment4697,Payment,,
PO2660,Purchase Order,29534.71,Created
GRN5818,Goods Receipt,,
Invoice7535,Invoice,,
Payment2523,Payment,,
PO8540,Purchase Order,4293.25,Created
GRN214,Goods Receipt,,
Invoice6285,Invoice,,
Payment4408,Payment,,
PO7333,Purchase Order,10852.98,Created
GRN5317,Goods Receipt,,
Invoice1343,Invoice,,
Payment3223,Payment,,
PO7125,Purchase Order,8256.07,Created
GRN7210,Goods Receipt,,
Invoice1224,Invoice,,
Payment8507,Payment,,
PO4813,Purchase Order,25958.26,Created
GRN6909,Goods Receipt,,
Invoice6626,Invoice,,
Payment7902,Payment,,
PO6340,Purchase Order,10869.34,Created
GRN35,Goods Receipt,,
Invoice8469,Invoice,,
Payment6819,Payment,,
PO2973,Purchase Order,15168.99,Created
GRN4752,Goods Receipt,,
Invoice7817,Invoice,,
Payment7309,Payment,,
PO213,Purchase Order,10281.77,Created
GRN1604,Goods Receipt,,
Invoice9960,Invoice,,
Payment7138,Payment,,
PO5743,Purchase Order,3207.19,Created
GRN6451,Goods Receipt,,
Invoice8808,Invoice,,
Payment6558,Payment,,
PO3924,Purchase Order,3062.59,Created
GRN8605,Goods Receipt,,
Invoice7776,Invoice,,
Payment8544,Payment,,
PO3024,Purchase Order,31526.729999999996,Created
GRN4971,Goods Receipt,,
Invoice6958,Invoice,,
Payment5997,Payment,,
PO6032,Purchase Order,10450.61,Created
GRN8829,Goods Receipt,,
Invoice9813,Invoice,,
Payment6604,Payment,,
PO3332,Purchase Order,5422.22,Created
GRN898,Goods Receipt,,
Invoice3207,Invoice,,
PO8925,Purchase Order,13108.61,Created
GRN4793,Goods Receipt,,
Invoice266,Invoice,,
Payment4434,Payment,,
PO1276,Purchase Order,35118.25,Created
GRN4966,Goods Receipt,,
Invoice2969,Invoice,,
Payment4359,Payment,,
PO1990,Purchase Order,5515.12,Created
GRN325,Goods Receipt,,
Invoice5983,Invoice,,
Payment1568,Payment,,
PO6654,Purchase Order,12906.08,Created
GRN1612,Goods Receipt,,
Invoice4773,Invoice,,
Payment4069,Payment,,
PO3590,Purchase Order,5315.14,Created
GRN3463,Goods Receipt,,
Invoice5765,Invoice,,
Payment84,Payment,,
PO5732,Purchase Order,8636.81,Created
GRN763,Goods Receipt,,
Invoice35,Invoice,,
Payment6470,Payment,,
PO8408,Purchase Order,6398.93,Created
GRN6770,Goods Receipt,,
Invoice9259,Invoice,,
Payment5135,Payment,,
PO2399,Purchase Order,27788.29,Created
GRN4800,Goods Receipt,,
Invoice6869,Invoice,,
Payment8723,Payment,,
PO6360,Purchase Order,1115.03,Created
GRN2574,Goods Receipt,,
Payment7669,Payment,,
PO7340,Purchase Order,4851.58,Created
GRN3061,Goods Receipt,,
Invoice863,Invoice,,
Payment4041,Payment,,
PO2754,Purchase Order,11500.46,Created
GRN8417,Goods Receipt,,
Invoice1636,Invoice,,
Payment2095,Payment,,
PO4049,Purchase Order,9085.83,Created
GRN5416,Goods Receipt,,
Invoice2171,Invoice,,
Payment8076,Payment,,
PO8006,Purchase Order,18808.24,Created
Invoice7301,Invoice,,
Payment9926,Payment,,
PO9311,Purchase Order,6298.41,Created
GRN8227,Goods Receipt,,
Invoice9169,Invoice,,
Payment7373,Payment,,
PO6473,Purchase Order,3258.25,Created
GRN844,Goods Receipt,,
Invoice8895,Invoice,,
Payment6248,Payment,,
PO6975,Purchase Order,21434.6,Created
GRN4231,Goods Receipt,,
Invoice3097,Invoice,,
Payment5172,Payment,,
PO4980,Purchase Order,3567.28,Created
GRN7739,Goods Receipt,,
Invoice3877,Invoice,,
Payment3598,Payment,,
PO427,Purchase Order,6346.27,Created
GRN5771,Goods Receipt,,
Invoice7961,Invoice,,
Payment4350,Payment,,
PO9808,Purchase Order,4064.1,Created
GRN4916,Goods Receipt,,
Invoice7983,Invoice,,
Payment3970,Payment,,
PO6933,Purchase Order,3527.33,Created
GRN7543,Goods Receipt,,
Invoice640,Invoice,,
Payment3453,Payment,,
PO938,Purchase Order,9908.71,Created
GRN3851,Goods Receipt,,
Invoice4972,Invoice,,
Payment3199,Payment,,
PO6962,Purchase Order,32922.01,Created
GRN843,Goods Receipt,,
Invoice4693,Invoice,,
Payment4205,Payment,,
PO3124,Purchase Order,14251.9,Created
GRN6671,Goods Receipt,,
Invoice1218,Invoice,,
Payment7010,Payment,,
PO7262,Purchase Order,15349.21,Created
GRN1062,Goods Receipt,,
Invoice695,Invoice,,
Payment1262,Payment,,
PO9025,Purchase Order,3203.5,Created
GRN7606,Goods Receipt,,
Invoice7678,Invoice,,
Payment6265,Payment,,
PO3757,Purchase Order,5574.8,Created
Invoice4902,Invoice,,
Payment2464,Payment,,
PO414,Purchase Order,5337.67,Created
GRN1444,Goods Receipt,,
Invoice1439,Invoice,,
Payment1114,Payment,,
PO289,Purchase Order,12193.92,Created
GRN8366,Goods Receipt,,
Invoice1967,Invoice,,
Payment6066,Payment,,
PO3285,Purchase Order,14439.44,Created
GRN9883,Goods Receipt,,
Invoice6446,Invoice,,
Payment5185,Payment,,
PO3010,Purchase Order,805.34,Created
GRN815,Goods Receipt,,
Invoice5667,Invoice,,
Payment2159,Payment,,
PO8542,Purchase Order,23163.68,Created
GRN1196,Goods Receipt,,
Invoice944,Invoice,,
Payment1985,Payment,,
PO8028,Purchase Order,4983.2,Created
GRN6043,Goods Receipt,,
Invoice171,Invoice,,
Payment5692,Payment,,
PO5173,Purchase Order,4927.1,Created
GRN7305,Goods Receipt,,
Invoice8340,Invoice,,
Payment7846,Payment,,
PO2603,Purchase Order,4277.74,Created
GRN6041,Goods Receipt,,
Payment6787,Payment,,
PO1855,Purchase Order,5569.73,Created
GRN7799,Goods Receipt,,
Invoice4130,Invoice,,
Payment4012,Payment,,
PO2297,Purchase Order,5515.51,Created
GRN2609,Goods Receipt,,
Invoice7548,Invoice,,
Payment3060,Payment,,
PO8441,Purchase Order,30940.28,Created
GRN7301,Goods Receipt,,
Invoice5487,Invoice,,
Payment167,Payment,,
PO3431,Purchase Order,5160.66,Created
GRN8792,Goods Receipt,,
Invoice9086,Invoice,,
Payment4486,Payment,,
PO1757,Purchase Order,4868.86,Created
GRN5372,Goods Receipt,,
Invoice5295,Invoice,,
Payment7314,Payment,,
PO4561,Purchase Order,34092.06,Created
GRN516,Goods Receipt,,
Invoice480,Invoice,,
Payment2282,Payment,,
PO7936,Purchase Order,5747.77,Created
GRN8583,Goods Receipt,,
Invoice356,Invoice,,
Payment1695,Payment,,
PO9030,Purchase Order,4868.08,Created
GRN6911,Goods Receipt,,
Invoice3868,Invoice,,
Payment9506,Payment,,
PO6365,Purchase Order,7242.12,Created
GRN4121,Goods Receipt,,
Invoice6530,Invoice,,
Payment3637,Payment,,
PO1342,Purchase Order,2448.35,Created
GRN4272,Goods Receipt,,
Invoice7178,Invoice,,
Payment4511,Payment,,
PO4220,Purchase Order,3297.66,Created
GRN875,Goods Receipt,,
Invoice5300,Invoice,,
PO1391,Purchase Order,23257.39,Created
GRN4393,Goods Receipt,,
Invoice124,Invoice,,
Payment635,Payment,,
PO4562,Purchase Order,2563.04,Created
GRN9778,Goods Receipt,,
Invoice9274,Invoice,,
Payment9467,Payment,,
PO3430,Purchase Order,1499.31,Created
GRN1835,Goods Receipt,,
Invoice6328,Invoice,,
Payment5734,Payment,,
PO8134,Purchase Order,2354.85,Created
GRN9085,Goods Receipt,,
Invoice3245,Invoice,,
Payment7514,Payment,,
PO2019,Purchase Order,4199.55,Created
GRN5127,Goods Receipt,,
Invoice9390,Invoice,,
Payment5797,Payment,,
PO590,Purchase Order,17878.79,Created
GRN7459,Goods Receipt,,
Invoice2591,Invoice,,
Payment4262,Payment,,
PO3030,Purchase Order,6492.78,Created
GRN2019,Goods Receipt,,
Invoice1202,Invoice,,
Payment2328,Payment,,
PO9313,Purchase Order,4825.93,Created
GRN3749,Goods Receipt,,
Invoice8344,Invoice,,
Payment1282,Payment,,
PO5997,Purchase Order,20297.55,Created
GRN961,Goods Receipt,,
Invoice817,Invoice,,
Payment394,Payment,,
PO4450,Purchase Order,25780.179999999997,Created
GRN8818,Goods Receipt,,
Invoice9709,Invoice,,
Payment7945,Payment,,
PO5739,Purchase Order,4017.43,Created
GRN760,Goods Receipt,,
Invoice9758,Invoice,,
Payment8238,Payment,,
PO8753,Purchase Order,1772.3,Created
GRN2942,Goods Receipt,,
Invoice8912,Invoice,,
Payment8748,Payment,,
PO3803,Purchase Order,7347.64,Created
GRN7725,Goods Receipt,,
Invoice6095,Invoice,,
Payment7253,Payment,,
PO6620,Purchase Order,5467.18,Created
GRN3192,Goods Receipt,,
Invoice9529,Invoice,,
Payment4627,Payment,,
PO9043,Purchase Order,12637.87,Created
GRN3070,Goods Receipt,,
Invoice7490,Invoice,,
Payment7646,Payment,,
PO7893,Purchase Order,17503.1,Created
GRN5402,Goods Receipt,,
Invoice4217,Invoice,,
Payment9763,Payment,,
PO7816,Purchase Order,23241.07,Created
GRN5524,Goods Receipt,,
Invoice6211,Invoice,,
Payment9913,Payment,,
PO2161,Purchase Order,10792.98,Created
GRN6338,Goods Receipt,,
Invoice2452,Invoice,,
Payment6135,Payment,,
GRN2107,Goods Receipt,,
Invoice3603,Invoice,,
Payment4306,Payment,,
PO502,Purchase Order,25235.86,Created
GRN8702,Goods Receipt,,
Invoice6504,Invoice,,
Payment6970,Payment,,
PO8277,Purchase Order,10741.77,Created
GRN3190,Goods Receipt,,
Invoice7365,Invoice,,
Payment1680,Payment,,
PO1573,Purchase Order,30455.67,Created
GRN6340,Goods Receipt,,
Invoice3657,Invoice,,
Payment6051,Payment,,
PO6111,Purchase Order,3871.49,Created
GRN3892,Goods Receipt,,
Invoice8132,Invoice,,
Payment6328,Payment,,
PO7892,Purchase Order,12221.1,Created
GRN2661,Goods Receipt,,
Payment750,Payment,,
PO7639,Purchase Order,15723.68,Created
GRN8170,Goods Receipt,,
Invoice4748,Invoice,,
Payment7626,Payment,,
PO2675,Purchase Order,30785.8,Created
GRN3956,Goods Receipt,,
Invoice5954,Invoice,,
Payment7100,Payment,,
PO8075,Purchase Order,12112.56,Created
GRN9580,Goods Receipt,,
Invoice1388,Invoice,,
Payment4776,Payment,,
PO9703,Purchase Order,7574.7,Created
GRN2227,Goods Receipt,,
Invoice2342,Invoice,,
Payment7645,Payment,,
PO7752,Purchase Order,7718.87,Created
GRN8922,Goods Receipt,,
Invoice5124,Invoice,,
Payment9167,Payment,,
PO9446,Purchase Order,16503.06,Created
GRN8559,Goods Receipt,,
Invoice5338,Invoice,,
Payment723,Payment,,
GRN2173,Goods Receipt,,
Invoice4011,Invoice,,
Payment4493,Payment,,
PO273,Purchase Order,5077.0,Created
GRN2274,Goods Receipt,,
Invoice4873,Invoice,,
Payment1908,Payment,,
PO4355,Purchase Order,725.83,Created
GRN3750,Goods Receipt,,
Invoice7531,Invoice,,
Payment6369,Payment,,
PO9591,Purchase Order,4987.99,Created
GRN2297,Goods Receipt,,
Invoice2692,Invoice,,
Payment1311,Payment,,
PO8673,Purchase Order,21335.59,Created
GRN6988,Goods Receipt,,
Invoice3682,Invoice,,
Payment7639,Payment,,
PO1408,Purchase Order,8788.65,Created
GRN9801,Goods Receipt,,
Invoice254,Invoice,,
Payment2352,Payment,,
PO2086,Purchase Order,7129.26,Created
GRN8614,Goods Receipt,,
Invoice1351,Invoice,,
Payment5867,Payment,,
PO2961,Purchase Order,6366.58,Created
GRN7560,Goods Receipt,,
Invoice3494,Invoice,,
Payment5761,Payment,,
PO2467,Purchase Order,9118.72,Created
GRN3891,Goods Receipt,,
Invoice9203,Invoice,,
Payment8279,Payment,,
PO4594,Purchase Order,2954.76,Created
GRN8608,Goods Receipt,,
Invoice8423,Invoice,,
Payment4268,Payment,,
PO8531,Purchase Order,7712.01,Created
GRN7267,Goods Receipt,,
Invoice4436,Invoice,,
Payment9798,Payment,,
PO733,Purchase Order,31188.7,Created
